contractor_id,contractor_name,category,member_id,member_name,role,experience_years,rating,availability,team_size
C001,Full House Construction Contractor,Full House Construction,C001-M01,Arjun Reddy,Project Manager,4,4.3,Available,7
C001,Full House Construction Contractor,Full House Construction,C001-M02,Rahul Verma,Site Engineer,6,4.5,Available,7
C001,Full House Construction Contractor,Full House Construction,C001-M03,Vikram Yadav,Civil Engineer,8,4.7,Busy,7
C001,Full House Construction Contractor,Full House Construction,C001-M04,Suresh Menon,Electrical Supervisor,10,4.9,Available,7
C001,Full House Construction Contractor,Full House Construction,C001-M05,Ramesh Joshi,Plumbing Supervisor,12,4.3,Available,7
C001,Full House Construction Contractor,Full House Construction,C001-M06,Karthik Babu,Finishing Supervisor,14,4.5,Available,7
C001,Full House Construction Contractor,Full House Construction,C001-M07,Pradeep Agarwal,Safety Officer,3,4.7,Available,7
C002,Civil Contractor,Core Construction,C002-M01,Naveen Shetty,Civil Engineer,11,4.2,Available,7
C002,Civil Contractor,Core Construction,C002-M02,Rohit Prasad,Site Supervisor,13,4.4,Busy,7
C002,Civil Contractor,Core Construction,C002-M03,Manoj Reddy,RCC Supervisor,15,4.6,Available,7
C002,Civil Contractor,Core Construction,C002-M04,Harish Verma,Mason,4,4.8,Available,7
C002,Civil Contractor,Core Construction,C002-M05,Ajay Yadav,Surveyor,6,4.2,Available,7
C002,Civil Contractor,Core Construction,C002-M06,Vijay Menon,Quantity Surveyor,8,4.4,Available,7
C002,Civil Contractor,Core Construction,C002-M07,Sai Joshi,Safety Officer,10,4.6,Busy,7
C003,Electrical Contractor,Core Construction,C003-M01,Dinesh Das,Electrical Engineer,5,4.9,Busy,7
C003,Electrical Contractor,Core Construction,C003-M02,Mahesh Kapoor,Electrical Supervisor,7,4.3,Available,7
C003,Electrical Contractor,Core Construction,C003-M03,Anil Shetty,Electrician,9,4.5,Available,7
C003,Electrical Contractor,Core Construction,C003-M04,Sunil Prasad,Wireman,11,4.7,Available,7
C003,Electrical Contractor,Core Construction,C003-M05,Tarun Reddy,Panel Technician,13,4.9,Available,7
C003,Electrical Contractor,Core Construction,C003-M06,Varun Verma,Testing Technician,15,4.3,Busy,7
C003,Electrical Contractor,Core Construction,C003-M07,Aditya Yadav,Helper,4,4.5,Available,7
C004,Plumbing Contractor,Core Construction,C004-M01,Akash Rao,Plumbing Engineer,12,4.8,Available,7
C004,Plumbing Contractor,Core Construction,C004-M02,Ravi Gupta,Plumbing Supervisor,14,4.2,Available,7
C004,Plumbing Contractor,Core Construction,C004-M03,Mohan Das,Pipe Fitter,3,4.4,Available,7
C004,Plumbing Contractor,Core Construction,C004-M04,Nikhil Kapoor,Plumber,5,4.6,Available,7
C004,Plumbing Contractor,Core Construction,C004-M05,Abhishek Shetty,Pump Technician,7,4.8,Busy,7
C004,Plumbing Contractor,Core Construction,C004-M06,Pavan Prasad,Drainage Technician,9,4.2,Available,7
C004,Plumbing Contractor,Core Construction,C004-M07,Srikanth Reddy,Helper,11,4.4,Available,7
C005,Masonry Contractor,Core Construction,C005-M01,Teja Goud,Masonry Supervisor,6,4.7,Available,7
C005,Masonry Contractor,Core Construction,C005-M02,Lokesh Sharma,Senior Mason,8,4.9,Available,7
